Streaming output truncated to the last 5000 lines.
Epoch 351, Loss: 0.5703339576721191, Accuracy: 0.7058823529411764
Epoch 352, Loss: 0.7055900692939758, Accuracy: 0.4852941176470588
Epoch 353, Loss: 0.5025990009307861, Accuracy: 0.8529411764705882
Epoch 354, Loss: 0.13659682869911194, Accuracy: 0.9558823529411764
Epoch 355, Loss: 0.1550353765487671, Accuracy: 0.9852941176470588
Epoch 356, Loss: 0.5291460156440735, Accuracy: 0.75
Epoch 357, Loss: 0.5707687139511108, Accuracy: 0.7647058823529411
Epoch 358, Loss: 0.14567410945892334, Accuracy: 0.9705882352941176
Epoch 359, Loss: 0.399249792098999, Accuracy: 0.8529411764705882
Epoch 360, Loss: 0.6292494535446167, Accuracy: 0.6176470588235294
Epoch 361, Loss: 0.5323289632797241, Accuracy: 0.75
Epoch 362, Loss: 0.2882324457168579, Accuracy: 0.9558823529411764
Epoch 363, Loss: 0.4803006649017334, Accuracy: 0.8676470588235294
Epoch 364, Loss: 0.5475431680679321, Accuracy: 0.6911764705882353
Epoch 365, Loss: 0.5447991490364075, Accuracy: 0.7352941176470588
Epoch 366, Loss: 0.5946907997131348, Accuracy: 0.7058823529411764
Epoch 367, Loss: 0.5462524890899658, Accuracy: 0.7352941176470588
Epoch 368, Loss: 0.7322632670402527, Accuracy: 0.5882352941176471
Epoch 369, Loss: 0.9552426934242249, Accuracy: 0.7941176470588235
Epoch 370, Loss: 0.5704386830329895, Accuracy: 0.6911764705882353
Epoch 371, Loss: 0.35481762886047363, Accuracy: 0.8382352941176471
Epoch 372, Loss: 0.4115231931209564, Accuracy: 0.8235294117647058
Epoch 373, Loss: 0.6204994916915894, Accuracy: 0.6029411764705882
Epoch 374, Loss: 0.5603067278862, Accuracy: 0.75
Epoch 375, Loss: 0.8929229378700256, Accuracy: 0.4852941176470588
Epoch 376, Loss: 0.17362478375434875, Accuracy: 0.9705882352941176
Epoch 377, Loss: 0.5898138284683228, Accuracy: 0.6617647058823529
Epoch 378, Loss: 0.38674700260162354, Accuracy: 0.8676470588235294
Epoch 379, Loss: 0.5955719947814941, Accuracy: 0.6323529411764706
Epoch 380, Loss: 0.5291152000427246, Accuracy: 0.75
Epoch 381, Loss: 0.5771663188934326, Accuracy: 0.7205882352941176
